h3,places
892696029a3ffff,2
89269615a47ffff,1
8926960759bffff,12
89269607597ffff,6
892696075b3ffff,1
89269615b07ffff,42
89269615a6fffff,1
89269615b8fffff,12
892696066abffff,1
892696066a7ffff,1
8926960645bffff,2
8926961596fffff,1
89269615943ffff,6
89269606457ffff,6
892696159a7ffff,4
8926960641bffff,7
89269615e67ffff,1
8926961588bffff,4
892696158a7ffff,1
89269614ac7ffff,14
89269614e77ffff,6
8926961430bffff,3
892696143c7ffff,3
89269614387ffff,1
89269614b6bffff,19
89269614b2fffff,24
89269614b17ffff,1
892696a9287ffff,2
892696a9297ffff,1
892696a90abffff,40
8926961493bffff,20
89269614903ffff,1
892696a94cbffff,25
892696a9463ffff,9
892696a9427ffff,12
892696a94cfffff,11
89269614823ffff,27
892696148abffff,10
89269614c53ffff,6
89269614ccbffff,3
89269614c23ffff,8
89269614c33ffff,3
89269614c97ffff,4
892696149bbffff,14
89269614997ffff,1
892696ab24bffff,9
892696ab217ffff,38
892696ab2cfffff,42
892696ab293ffff,32
89269614dcfffff,6
89269614d83ffff,12
89269614d93ffff,30
89269616b63ffff,4
89269616b2fffff,15
892696ab657ffff,34
892696a824bffff,27
892696a8217ffff,2
892696a82d3ffff,3
892696ab16bffff,4
892696a83d3ffff,32
892696a8033ffff,2
892696a81cbffff,2
892696ab06bffff,4
892696ab023ffff,1
892696ab02fffff,19
892696ab44bffff,49
892696a84c3ffff,1
892696ab183ffff,2
892696aa24fffff,5
892696aa273ffff,2
892696a8413ffff,1
892696ab53bffff,6
892696aa2cbffff,6
89269616a2bffff,11
89269616a2fffff,19
89269616ea3ffff,1
89269616b1bffff,13
89269616907ffff,3
892696161afffff,6
892696161c7ffff,5
89269616113ffff,3
89269616193ffff,2
89269616c83ffff,3
892696b9257ffff,4
892696b9267ffff,1
892696b922fffff,4
892696b93cbffff,2
892696b93c7ffff,1
892696b92c7ffff,7
892696b902fffff,2
892696ab4d7ffff,3
89269606097ffff,1
89269606507ffff,5
892696065b3ffff,23
