h3,places
856d4eb3fffffff,2
859cdd93fffffff,1
859cdd87fffffff,2
859cd80ffffffff,1
859cf537fffffff,40
859cf193fffffff,2
859cf103fffffff,4
859cf0affffffff,1
859cf383fffffff,1
859cf043fffffff,1
859cd19bfffffff,1
859cd2cffffffff,2
859c8c63fffffff,2
859c8c7bfffffff,1
857283abfffffff,1
85728ed7fffffff,1
859cda3bfffffff,1
8572d667fffffff,2
8572d283fffffff,9
857288cffffffff,1
8572881bfffffff,6
8572894bfffffff,6
857285bbfffffff,1
859ede3bfffffff,1
857e2a87fffffff,1
857541abfffffff,3
85754063fffffff,2
85756ecbfffffff,1
8582e8abfffffff,1
8582ce37fffffff,1
8575634bfffffff,1
85756063fffffff,1
857561cbfffffff,1
85756073fffffff,1
85589b73fffffff,1
85589877fffffff,1
8582c5b3fffffff,1
8582e30ffffffff,7
8582e377fffffff,4
8582f46bfffffff,2
8582f6cbfffffff,2
8582ab2ffffffff,1
8582ab77fffffff,1
8582d4d7fffffff,2
85828d17fffffff,3
8582d1d7fffffff,2
8582d873fffffff,5
8582d263fffffff,4
8582d26bfffffff,4
8558de0ffffffff,3
8558debbfffffff,5
8558965bfffffff,1
8575298ffffffff,4
8558961bfffffff,1
8558b21bfffffff,1
8558b2abfffffff,1
8558844ffffffff,1
859bacd3fffffff,1
859a1407fffffff,1
859b896bfffffff,3
859a1513fffffff,1
859a1527fffffff,3
85896b2ffffffff,1
859ae217fffffff,1
859af647fffffff,1
85895acbfffffff,1
85893407fffffff,41
8589343bfffffff,1459
85df6a8bfffffff,2
85df6d8ffffffff,1
85df6d77fffffff,1
85df6833fffffff,81
85df69b3fffffff,1
85cf105bfffffff,1
85cf162ffffffff,6
85cf8803fffffff,3
85cf8857fffffff,1
85cf8867fffffff,4
85cf8bbbfffffff,135
85cf8b8bfffffff,1
85cf8b5bfffffff,1
85cf802ffffffff,1
85cf8237fffffff,1
85cf9123fffffff,230
85cf98c3fffffff,1
85dfa84ffffffff,1
85df455bfffffff,1
85df400bfffffff,1
85de700ffffffff,3
85de702ffffffff,1
85ceac47fffffff,51
85ceaebbfffffff,2
85ceaeaffffffff,1
85cea8cbfffffff,19
85ceae27fffffff,3
85ceaa8ffffffff,6
85ceab53fffffff,39
85ce8c8ffffffff,1
85ce8c07fffffff,115
85cea597fffffff,1
85cea53bfffffff,1
85cea54ffffffff,1
85cea487fffffff,1
85cea467fffffff,4
85cea013fffffff,1
85ceae8ffffffff,1
85ceaed7fffffff,3
85cea3bbfffffff,2
85cea39bfffffff,13
85ceaadbfffffff,1
85ce85affffffff,11
85ce8507fffffff,6
85ce852ffffffff,1
85ce8197fffffff,10
85ce80a7fffffff,8
85ce80bbfffffff,80
85ce810ffffffff,10
85ce8eb7fffffff,11
85ce8e87fffffff,1
85ce8e83fffffff,6
85ce8ecbfffffff,1
85ce814ffffffff,6
85ce9123fffffff,2
85ce88d7fffffff,14
85ce8bd7fffffff,10
85b2d303fffffff,1
85ce88cbfffffff,3
85ce8a87fffffff,94
85ce8ad7fffffff,63
85ce9d23fffffff,9
85ce8a4bfffffff,4
85ce9833fffffff,1
85ce99dbfffffff,1
85b2db57fffffff,4
85b2d82ffffffff,174
85b2d943fffffff,24
85b2d90bfffffff,5
85b2d9c7fffffff,39
85ce935bfffffff,1291
85c366d3fffffff,2
85a82d43fffffff,8
85a82d2ffffffff,6
85a95a5bfffffff,2
85a87433fffffff,7
85a8755bfffffff,1
85a874dbfffffff,2
85a82943fffffff,23
85a82d4bfffffff,320
85a828d7fffffff,2
85a82823fffffff,65
85a82e27fffffff,139
85a82a87fffffff,12
85a82ecbfffffff,5
85a8236bfffffff,13
85a805c7fffffff,1
85a805b7fffffff,8
85a80517fffffff,2
85a80523fffffff,1
85a80193fffffff,1
85a8295bfffffff,3674
85a82b97fffffff,19
85a82b87fffffff,31
85a80d93fffffff,307
85a80183fffffff,6
85a81073fffffff,53428
85a81a37fffffff,360
85a8f497fffffff,211
85a8e653fffffff,4
85a8f593fffffff,48
85a8f4bbfffffff,31
85a81ed7fffffff,2804
85a81ec7fffffff,117
85a81ecffffffff,2099
85a81e0bfffffff,1893
85a81323fffffff,4069
85a81e5bfffffff,520
85a8ad8ffffffff,46
85a81a1bfffffff,20
85a8ad07fffffff,437
85a8ad2bfffffff,8
85a8ac8ffffffff,18
85a8ac83fffffff,416
85a8acc3fffffff,63
85818383fffffff,1952
8581838ffffffff,49
85818363fffffff,2982
85818e17fffffff,83
8581885bfffffff,2
85818a97fffffff,44
85818e63fffffff,111
85819dbbfffffff,10
85819daffffffff,68
85819d27fffffff,1986
85819d8bfffffff,63
8580286bfffffff,11
8580284bfffffff,2
8580286ffffffff,2
85802bc3fffffff,700
8580059bfffffff,52
85800547fffffff,227
85499583fffffff,3923
8529abaffffffff,55
8529ab2ffffffff,28
85298d83fffffff,4
8529aaabfffffff,17
8529ab53fffffff,38
8529aa0bfffffff,24
8529ab4bfffffff,16
85298cb3fffffff,546
85298c03fffffff,9
85298c1bfffffff,2
852832d3fffffff,175
85283213fffffff,1973
85283253fffffff,81
85298d27fffffff,13
8528325bfffffff,22
85283277fffffff,596
852989b3fffffff,116
85298993fffffff,1591
85298d67fffffff,93
85298dcffffffff,10
852989c3fffffff,1
85298867fffffff,6
8529a0affffffff,12424
8548ee2ffffffff,6
8548e95bfffffff,1377
8548eb87fffffff,218
8529b6c3fffffff,9667
8526c83bfffffff,7239
8526c95bfffffff,1872
85268cd3fffffff,9299
8526aa67fffffff,16
85268423fffffff,14
8526859bfffffff,5
85268533fffffff,8
85128657fffffff,5
8512b16bfffffff,2
8512b02bfffffff,31
8512b003fffffff,1
8512b103fffffff,1
8512b187fffffff,3
8512b12bfffffff,1
8512b127fffffff,6
85128077fffffff,1
8512803bfffffff,1
85128577fffffff,11
8512a863fffffff,1
8512a163fffffff,1
8528f0b3fffffff,1270
8528f3b3fffffff,5
8528f06ffffffff,6
8528f28ffffffff,37
8528f32ffffffff,18
8528f30bfffffff,16
8566d31bfffffff,25
8566d257fffffff,241
8566d2c7fffffff,299
856d6bbbfffffff,39
856d6bb7fffffff,93
856d691bfffffff,9
856d681bfffffff,13
856d68affffffff,16
856d6d67fffffff,3
8566866bfffffff,1
8566b323fffffff,1
8566800bfffffff,1
856680cffffffff,1
8566844ffffffff,2
8566a203fffffff,4
8566a30bfffffff,12
8566b403fffffff,40
8566b4a7fffffff,2
8566b4bbfffffff,1
85679b4ffffffff,23
8566b597fffffff,18
85679b47fffffff,144
8566a643fffffff,12
8566b4dbfffffff,4598
85679adbfffffff,1
