h3,places
8844d51233fffff,2
8844d589b5fffff,4
8844d5136bfffff,32
8844d51319fffff,1
8844d5133bfffff,1
8844d58dd3fffff,4
8844d58dd5fffff,1
8844d516d7fffff,1
8844d51403fffff,1
8844d51429fffff,1
8844d515d9fffff,1
8844d51051fffff,1
8844d51067fffff,1
8844d51139fffff,3
8844d51a93fffff,6
8844d5154dfffff,1
8844d51501fffff,2
8844d50347fffff,62
8844d50309fffff,88
8844d5030bfffff,105
8844d50315fffff,1
8844d502e1fffff,1
8844d5c735fffff,11
8844d5c71bfffff,2
8844d5c41dfffff,4
8844d5c417fffff,17
8844d5c4c5fffff,5
8844d5c4e9fffff,7
8844d5c4a9fffff,3
8844d5c43dfffff,8
8844d5c437fffff,1
8844d51a55fffff,1
8844d5c5e5fffff,5
8844d5cf47fffff,22
8844d5c8d9fffff,1
8844d5cf51fffff,13
8844d5cc65fffff,1
8844d5112dfffff,2
8844d51ac9fffff,3
8844d51a97fffff,5
8844d51909fffff,2
8844d519edfffff,1
8844d50849fffff,1
8844d5568dfffff,1
8844d5546bfffff,4
8844d55467fffff,1
8844d55417fffff,2
8844d554a7fffff,26
8844d555e5fffff,12
8844d55131fffff,2
8844d55a33fffff,12
8844d54203fffff,27
8844d54239fffff,29
8844d55a81fffff,2
8844d55aa5fffff,110
8844d558e5fffff,45
8844d558a9fffff,93
8844d558adfffff,33
8844d55993fffff,6
8844d54009fffff,1
8844d542a9fffff,2
8844d54029fffff,1
8844d540cbfffff,1
8844d54087fffff,1
8844d54a87fffff,1
8844d53215fffff,1
8844d50293fffff,5
8844d50765fffff,78
8844d5072bfffff,1
8844d50723fffff,1
8844d531d1fffff,1
8844d5356bfffff,1
8844d53087fffff,2
8844d501a9fffff,1
8844d501abfffff,1
8844d57157fffff,1
8844d5716bfffff,27
8844d5712dfffff,2
8844d57a51fffff,1
8844d56a0dfffff,23
8844d525c7fffff,1
8844d52ac9fffff,1
8844d529e1fffff,3
8844d196c1fffff,1
8844d195e1fffff,4
8844d19523fffff,1
8844d56f65fffff,1
8844d56f6bfffff,1
8844d56819fffff,1
8844d56c39fffff,1
8844d19953fffff,1
8844d1d623fffff,1
8844d1d437fffff,1
8844d54e5bfffff,2
8844d54c2bfffff,1
8844d54d61fffff,5
8844d54ce9fffff,6
8844d54dd3fffff,1
8844d54dcbfffff,2
8844d54d81fffff,1
8844d54d35fffff,52
8844d54da1fffff,2
8844d548c5fffff,6
8844d549d3fffff,1
8844d0b301fffff,1
8844d0b333fffff,2
8844d0b2c7fffff,2
8844d0b237fffff,1
8844d0b055fffff,2
8844d0b033fffff,2
8844d0b10dfffff,1
8844d0b685fffff,1
8844d0b6bbfffff,5
8844d0b60bfffff,1
8844d0b44bfffff,4
8844d5681dfffff,7
8844d08519fffff,1
8844d085a7fffff,4
8844d0b82dfffff,1
8844d01409fffff,10
8844d0b981fffff,1
8844d0a9adfffff,3
8844d0068bfffff,2
8844d0072dfffff,2
8844d0052bfffff,1
8844d00535fffff,1
8844d56985fffff,1
8844d0aec5fffff,1
8844d1d81dfffff,1
8844d1d89bfffff,39
8844d1d893fffff,1
8844d1d5a3fffff,1
8844d1d8c5fffff,1
8844d1d8a9fffff,5
8844d1ca29fffff,2
8844d0348bfffff,1
8844d1cb19fffff,1
8844d0ad07fffff,2
8844d004a7fffff,2
8844d00593fffff,22
8844d03a35fffff,5
8844d03a21fffff,2
8844d03813fffff,1
8844d022d7fffff,1
8844d02403fffff,1
8844d02425fffff,1
8844d0213bfffff,1
8844d02addfffff,1
8844d02ae1fffff,1
8844d02e2dfffff,1
8844d02f0bfffff,1
8844d02f39fffff,2
8844d02ab9fffff,7
8844d02aabfffff,5
8844d02abdfffff,4
8844d02f21fffff,5
8844d02f23fffff,4
8844d028b3fffff,27
8844c2481bfffff,1
8844d1b067fffff,1
8844d1b1c7fffff,2
8844d1b191fffff,1
8844d1b531fffff,1
8844d1a22bfffff,1
8844d1ba19fffff,1
8844d1ba37fffff,1
8844d1b805fffff,3
8844d1b8d9fffff,1
8844d1b8ddfffff,1
8844d1b9d9fffff,1
8844d1aa43fffff,2
8844d1aa11fffff,3
8844d18ce9fffff,1
8844d1165bfffff,1
8844d1168dfffff,1
8844d11725fffff,1
8844d11547fffff,22
8844d1150dfffff,48
8844d116e3fffff,2
8844d1141bfffff,11
8844d11085fffff,1
8844d11531fffff,1
8844d1028bfffff,1
8844d10085fffff,1
8844d1a013fffff,1
8844d1a45bfffff,2
8844d1a509fffff,1
8844d1adc3fffff,3
8844dcd951fffff,1
8844dcd957fffff,1
8844dcd881fffff,1
8844dcd9a7fffff,1
8844d1361bfffff,7
8844d13097fffff,1
8844d12299fffff,1
8844d13323fffff,1
8844d104bdfffff,1
8844d105e1fffff,1
8844d10e89fffff,1
8844d10ee3fffff,1
8844d101b3fffff,1
8844d10c6bfffff,2
8844d10c61fffff,4
8844d10d13fffff,8
8844d10dd9fffff,23
8844d10dd1fffff,18
8844d10dd5fffff,1
8844d10cabfffff,3
8844d13ad3fffff,11
8844d121edfffff,1
8844d174b5fffff,2
8844d16659fffff,1
8844d1c535fffff,1
8844d1cce7fffff,1
8844d1c8d1fffff,1
8844d1530bfffff,1
8844d1cdc1fffff,1
8844d150d1fffff,26
8844d150e5fffff,2
8844d11835fffff,3
8844d11903fffff,1
8844d1465bfffff,5
8844d15543fffff,1
8844d15097fffff,1
8844d14649fffff,1
8844c09a23fffff,2
8844c03b3dfffff,8
8844c03b31fffff,53
8844c22b05fffff,76
8844c2748dfffff,12
8844c2294dfffff,4
8844c2740bfffff,12
8844c22967fffff,3
8844d5c51bfffff,13
8844d5ce53fffff,28
8844d025dbfffff,1
8844d15ab3fffff,28
8844d02c0dfffff,4
8844d392b1fffff,1
8844d39457fffff,1
8844d39739fffff,1
8844d1418bfffff,1
8844d14f2bfffff,2
8844d14aebfffff,3
8844d148c3fffff,1
8844d3b249fffff,18
8844d38607fffff,1
8844d38685fffff,1
8844d38411fffff,2
8844d10d49fffff,1
8844d10d5dfffff,8
8844d17255fffff,2
8844d17265fffff,1
8844d172d9fffff,1
8844d17297fffff,1
8844d172a3fffff,1
8844d14ec7fffff,1
8844d17b41fffff,1
8844d14eb1fffff,1
8844d17845fffff,32
8844d17907fffff,1
8844d162c1fffff,1
8844d162d7fffff,2
8844d162d5fffff,2
8844d1629dfffff,6
8844d16307fffff,1
8844d16165fffff,1
8844d16129fffff,1
8844d14cc1fffff,2
8844d3b261fffff,2
8844d3a20bfffff,1
8844d3babdfffff,1
8844d3b8ddfffff,1
8844d3a14dfffff,2
8844d3b531fffff,2
8844d16921fffff,1
8844d169a5fffff,8
8844d3a407fffff,1
8844d3a237fffff,1
8844d3a0edfffff,5
8844d3a0a5fffff,3
8844d3a535fffff,1
8844d3af5bfffff,20
8844d3af43fffff,6
8844d00185fffff,11
8844d001a7fffff,1
8844d00e19fffff,1
8844d00d4bfffff,1
8844d00d29fffff,1
8844d0720dfffff,2
8844d00cd5fffff,1
8844d0394dfffff,2
8844d00d9dfffff,2
8844d00c27fffff,4
8844d0728dfffff,2
8844d00d85fffff,6
8844d072b9fffff,1
8844d072bdfffff,9
8844d07763fffff,7
8844d0772dfffff,89
8844d03903fffff,1
8844d07655fffff,1
8844d07611fffff,8
8844d07617fffff,5
8844d06129fffff,2
8844d02b21fffff,1
8844d0290dfffff,3
8844d02967fffff,3
8844d06665fffff,7
8844d02825fffff,1
8844d02915fffff,2
8844d066cbfffff,12
8844d02937fffff,3
8844d029b9fffff,3
8844d029b3fffff,6
8844d39359fffff,6
8844d3935dfffff,5
8844d39305fffff,7
8844d066a7fffff,140
8844d06445fffff,6
8844d06299fffff,9
8844d06013fffff,6
8844d060e7fffff,1
8844d061d7fffff,31
8844d06465fffff,13
8844d079d7fffff,19
8844d0799dfffff,1
8844d06a4bfffff,1
8844d06b05fffff,1
8844d06a3bfffff,94
8844d06ae1fffff,4
8844d0682bfffff,1
8844d06d2dfffff,1
8844d286c5fffff,1
8844d3905bfffff,2
8844d3903dfffff,1
8844d391c9fffff,1
8844d39129fffff,1
8844d3919bfffff,1
8844d39a91fffff,3
8844d39a83fffff,2
8844d3834dfffff,4
8844d3836bfffff,5
8844d39a87fffff,1
8844d3832dfffff,14
8844d06cb1fffff,1
8844d398b7fffff,1
8844d38109fffff,2
8844d385cdfffff,1
8844d38a17fffff,1
8844d38865fffff,1
8844d31213fffff,5
8844d3d2d3fffff,1
8844d3d913fffff,1
8844d3d935fffff,1
8844d3d9edfffff,8
8844d3c167fffff,1
8844d3cf09fffff,1
8844d3cc2dfffff,1
8844d385a5fffff,1
8844d38da9fffff,1
8844d3021dfffff,2
8844d3001dfffff,1
8844d3a897fffff,1
8844d30713fffff,1
8844d300c9fffff,1
8844d3054bfffff,1
8844d30e09fffff,1
8844d30e07fffff,1
8844d356e7fffff,2
8844d3545dfffff,4
8844d355cbfffff,1
8844d355b9fffff,1
8844d30c57fffff,1
8844d344e7fffff,1
8844d351cbfffff,3
8844d35a6dfffff,1
8844d35a63fffff,9
8844d22503fffff,1
882ad36981fffff,1
8844d359dbfffff,4
8844d34155fffff,1
8844d359c1fffff,1
8844d34a4dfffff,1
882ad36909fffff,3
882ad36841fffff,1
882ad36b0bfffff,4
8844d3453dfffff,1
882ad378a7fffff,1
882ad3785bfffff,87
882ad37a35fffff,3
882ad37a05fffff,2
882ad37a4dfffff,3
882ad34e99fffff,1
882ad34ed7fffff,1
882ad344a7fffff,21
882ad345cbfffff,1
882ad344e3fffff,50
882ad34483fffff,10
882ad34433fffff,3
882ad344e9fffff,71
882ad3442bfffff,1
882ad34559fffff,1
882ad3408bfffff,1
882ad34731fffff,5
882ad34439fffff,4
882ad346a5fffff,41
882ad34461fffff,12
882ad34443fffff,4
882ad34637fffff,4
882ad34681fffff,27
882ad34625fffff,3
882ad3460bfffff,37
882ad34655fffff,79
8844d07711fffff,26
8844d07465fffff,1
8844d07409fffff,9
8844d07423fffff,16
8844d062d9fffff,20
8844d0708bfffff,18
8844d071a5fffff,4
8844d07565fffff,1
8844d062e7fffff,1
8844d06009fffff,1
8844d06369fffff,48
8844d06313fffff,1
8844d06331fffff,186
8844d0616dfffff,3
8844d0758dfffff,51
8844d075e7fffff,30
8844d075b1fffff,28
8844d075b7fffff,5
8844d075a7fffff,35
882ad30921fffff,61
882ad3092bfffff,106
882ad35483fffff,5
882ad30b37fffff,65
882ad30b15fffff,16
8844c6b0b3fffff,12
8844c6a027fffff,3
8844c61461fffff,1
8844c6a91dfffff,1
8844c600e7fffff,1
8844c6a9e3fffff,1
8844c60437fffff,2
8844c605c5fffff,5
8844c63169fffff,2
8844c6310dfffff,1
8844c60e57fffff,3
8844c60e11fffff,68
8844c60e3dfffff,26
8844c605e5fffff,5
8844c60ec3fffff,3
8844c65485fffff,1
8844c65493fffff,1
8844c64e63fffff,1
8844c64e19fffff,7
8844c64e15fffff,13
8844c67033fffff,1
8844c6711bfffff,2
8844c67167fffff,1
8844c471b7fffff,1
8844c46d55fffff,2
8844c468d7fffff,1
8844c0d253fffff,1
8844c60f11fffff,5
8844c3a199fffff,2
8844c3baadfffff,1
8844c3baa7fffff,2
8844c3b8e7fffff,2
8844c3a147fffff,5
8844c3b881fffff,1
8844c3b99bfffff,3
8844c3b9ddfffff,1
8844c3aa6dfffff,3
8844c31695fffff,5
8844c38d99fffff,1
8844c302c3fffff,1
8844c3a117fffff,2
8844c3aa07fffff,1
8844c3aad3fffff,3
8844c3ad41fffff,2
8844c33311fffff,3
8844c3a965fffff,1
8844c3336bfffff,8
