h3,_max,_min,_avg
8729a4748ffffff,146,146,146.0
8729a4776ffffff,512,512,512.0
8729a4295ffffff,95,95,95.0
8729a4635ffffff,605,605,605.0
8729a4796ffffff,1214,1214,1214.0
8729a4799ffffff,1183,1183,1183.0
8729a0818ffffff,1095,1095,1095.0
8729a46d6ffffff,1454,1454,1454.0
8729a0d1dffffff,787,787,787.0
8729a0caaffffff,1249,1249,1249.0
8729a4c86ffffff,1184,1184,1184.0
874859212ffffff,1232,1232,1232.0
87485976dffffff,1020,1020,1020.0
874859749ffffff,1248,1248,1248.0
8729a6936ffffff,520,520,520.0
8748590d1ffffff,1638,1613,1625.5
874859753ffffff,462,462,462.0
874859606ffffff,118,118,118.0
874859783ffffff,775,775,775.0
874859452ffffff,374,374,374.0
8729a6000ffffff,22,22,22.0
8729a6706ffffff,440,440,440.0
8748589adffffff,281,281,281.0
8748588c3ffffff,199,199,199.0
874858205ffffff,145,145,145.0
8748ed255ffffff,957,587,772.0
87485b1b6ffffff,81,40,60.5
87485b18dffffff,437,437,437.0
87485bcb2ffffff,665,665,665.0
87485a2e6ffffff,245,245,245.0
8729b4ad5ffffff,554,554,554.0
87485a0e1ffffff,299,299,299.0
8748e9969ffffff,771,771,771.0
8748e9941ffffff,628,628,628.0
8748e9aa0ffffff,449,449,449.0
8729b4024ffffff,605,605,605.0
8729b4c0dffffff,454,454,454.0
8729b4ce9ffffff,542,542,542.0
8729b4540ffffff,637,637,637.0
8748e9203ffffff,381,381,381.0
8729b44e0ffffff,833,833,833.0
872806a94ffffff,237,237,237.0
87280051effffff,848,848,848.0
872800485ffffff,1078,1078,1078.0
87280625affffff,429,429,429.0
872802b60ffffff,748,748,748.0
872802b70ffffff,432,432,432.0
872802ab4ffffff,1042,966,1016.6666666666666
872802159ffffff,1403,1403,1403.0
87280232cffffff,339,339,339.0
872818a5dffffff,223,223,223.0
87281d511ffffff,339,339,339.0
87281d436ffffff,646,646,646.0
87281896cffffff,1223,1223,1223.0
87281d4b5ffffff,1078,1078,1078.0
872818863ffffff,919,914,916.5
87281c29affffff,1330,1330,1330.0
872818b36ffffff,990,990,990.0
872818a2bffffff,712,712,712.0
872818ac5ffffff,507,507,507.0
87281bb80ffffff,68,68,68.0
87281b8e1ffffff,364,364,364.0
87281b009ffffff,436,436,436.0
8729ad274ffffff,806,806,806.0
8729ad31cffffff,443,443,443.0
87291a61bffffff,602,602,602.0
87291a435ffffff,1102,1102,1102.0
87291a40bffffff,1223,1223,1223.0
8729ad281ffffff,391,391,391.0
8729a9868ffffff,625,625,625.0
8729ac822ffffff,719,719,719.0
8729ac819ffffff,1687,1687,1687.0
87291209cffffff,285,247,266.0
8729a1814ffffff,527,527,527.0
8729a1d45ffffff,141,141,141.0
8729a1811ffffff,596,596,596.0
8729a181bffffff,357,357,357.0
8729a18c1ffffff,692,692,692.0
8729a1c62ffffff,952,952,952.0
8729a1101ffffff,951,951,951.0
8729a1cedffffff,1534,1534,1534.0
8729a1a89ffffff,1536,1536,1536.0
8729a1362ffffff,2248,2248,2248.0
8729a135dffffff,2442,2442,2442.0
8729acc8cffffff,2613,2613,2613.0
8729ac18affffff,981,981,981.0
8729a1051ffffff,1193,1193,1193.0
8729a104affffff,1216,1216,1216.0
8729ae933ffffff,2362,2362,2362.0
8729adc4effffff,241,241,241.0
8729ad19effffff,395,395,395.0
8729adcacffffff,969,969,969.0
8729a8b4dffffff,1108,1108,1108.0
