h3,road_complexity
8844c29121fffff,8
8844c29117fffff,8
8844c291a9fffff,5
8844c291abfffff,1
8844c29addfffff,1
8844c0cca7fffff,2
8844c05555fffff,4
8844c050dbfffff,1
8844c050e3fffff,4
8844c04255fffff,2
8844c05425fffff,1
8844c05423fffff,6
8844c055c1fffff,1
8844c055ebfffff,4
8844c054a1fffff,1
8844c055c3fffff,1
8844c04237fffff,9
8844c04745fffff,1
8844c04285fffff,1
8844c040c9fffff,5
8844c05117fffff,2
8844c05a89fffff,8
8844c051bbfffff,2
8844c04265fffff,1
8844c04353fffff,1
8844c05ab1fffff,4
8844c04365fffff,3
8844c05853fffff,2
8844c0581bfffff,1
8844c05847fffff,2
8844c05855fffff,1
8844c05809fffff,7
8844c0423dfffff,1
8844c0400dfffff,2
8844c04065fffff,1
8844c04169fffff,1
8844c04ac1fffff,1
8844c04acbfffff,1
8844c04a19fffff,1
8844c04853fffff,1
8844c0465bfffff,1
8844c04611fffff,1
8844c04665fffff,3
8844c04081fffff,1
8844c0453dfffff,93
8844c044cbfffff,3
8844c0733dfffff,12
8844c0715dfffff,5
8844c045ddfffff,7
8844c045c7fffff,2
8844c045d5fffff,2
8844c04587fffff,5
8844c04ed7fffff,48
8844c07b49fffff,8
8844c045b5fffff,2
8844c07b2bfffff,2
8844c041b7fffff,1
8844c04e55fffff,2
8844c04e53fffff,4
8844c04e1dfffff,1
8844c04ee9fffff,10
8844c04e67fffff,1
8844c04f51fffff,1
8844c04c49fffff,5
8844c04a81fffff,1
8844c04ea7fffff,4
8844c04c09fffff,1
8844c04c07fffff,2
8844c04cd3fffff,1
8844c07b25fffff,2
8844c04ce9fffff,2
8844c04c8dfffff,2
8844c04d51fffff,3
8844c04d85fffff,1
8844c04d91fffff,1
8844c2b2d3fffff,4
8844c2b749fffff,4
8844c296c3fffff,1
8844c296d5fffff,2
8844c2968dfffff,1
8844c059bbfffff,1
8844c04b5dfffff,3
8844c04955fffff,3
8844c294bdfffff,2
8844c294e5fffff,2
8844c294a5fffff,2
8844c294b5fffff,1
8844c28639fffff,1
8844c28635fffff,3
8844c290a3fffff,1
8844c2952dfffff,6
8844c2805dfffff,1
8844c28069fffff,5
8844c28005fffff,1
8844c28317fffff,1
8844c2829dfffff,1
8844c2876bfffff,5
8844c28701fffff,4
8844c28707fffff,10
8844c28093fffff,5
8844c2805bfffff,1
8844c282a5fffff,6
8844c2802bfffff,1
8844c281d1fffff,1
8844c0491bfffff,1
8844c048a5fffff,1
8844c04995fffff,1
8844c049b1fffff,2
8844c28617fffff,1
8844c2848dfffff,3
8844c2848bfffff,1
8844c28481fffff,1
8844c2b21dfffff,18
8844c2b311fffff,4
8844c2b041fffff,2
8844c2b2a3fffff,4
8844c2b2b5fffff,1
8844c2b0c9fffff,4
8844c2b323fffff,2
8844c2ba13fffff,5
8844c28447fffff,7
8844c28463fffff,10
8844c2855bfffff,7
8844c28529fffff,1
8844c28e57fffff,1
8844c28e09fffff,2
8844c28ea5fffff,3
8844c28c03fffff,2
8844c2ba27fffff,33
8844c2b857fffff,5
8844c2b809fffff,5
8844c28ccbfffff,1
8844c28cd5fffff,1
8844c28c87fffff,1
8844c67507fffff,7
8844c6626bfffff,3
8844c66311fffff,7
8844c66213fffff,1
8844c662e1fffff,1
8844c66295fffff,2
8844c6662dfffff,1
8844c66703fffff,2
8844c662a7fffff,2
8844c661d3fffff,2
8844c6656dfffff,1
8844c66e45fffff,1
8844c678e7fffff,5
8844c66107fffff,13
8844c66ac9fffff,1
8844c67985fffff,2
8844c679b9fffff,1
8844c679a1fffff,1
8844c66b49fffff,4
8844c66a63fffff,5
8844c66a37fffff,2
8844c66943fffff,16
8844c6613bfffff,1
8844c66aa1fffff,2
8844c661a3fffff,3
8844c66f45fffff,5
8844c66f41fffff,2
8844c66843fffff,2
8844c66847fffff,1
8844c668e1fffff,5
8844c66507fffff,1
8844c665ebfffff,3
8844c665e9fffff,1
8844c665e5fffff,3
8844c66537fffff,2
8844c66ee3fffff,1
8844c66c5bfffff,12
8844c66ebdfffff,1
8844c66ea9fffff,2
8844c66ea1fffff,4
8844c66ea5fffff,1
8844c29a65fffff,5
8844c29aa3fffff,1
8844c29843fffff,1
8844c29867fffff,1
8844c29909fffff,2
8844c29967fffff,2
8844c29929fffff,4
8844c66c05fffff,1
8844c66d53fffff,1
8844c66c0bfffff,1
8844c66c3dfffff,1
8844c66d2bfffff,2
8844c2d227fffff,7
8844c2d2e1fffff,1
8844c2d669fffff,1
8844c2d66bfffff,1
8844c2d62dfffff,2
8844c2d721fffff,1
8844c2d0a1fffff,5
8844c2d56dfffff,1
8844d5b4c7fffff,5
8844d5b4e5fffff,43
8844c66965fffff,14
8844d5b4b1fffff,7
8844d5b425fffff,11
8844d5b5edfffff,6
8844d5b5c7fffff,11
8844d5b531fffff,1
8844d5a2cdfffff,3
8844d5a2c7fffff,2
8844d5a299fffff,28
8844d5a767fffff,58
8844d5a0d1fffff,17
8844c66931fffff,6
8844d5a651fffff,8
8844c66925fffff,6
8844d5a6e9fffff,13
8844d5a63bfffff,10
8844d5a6e5fffff,12
8844d5a6c7fffff,4
8844c669a5fffff,5
8844d5a695fffff,4
8844d5a6a9fffff,3
8844d5a6e7fffff,4
8844d5a217fffff,8
8844d5a05bfffff,2
8844d5a01bfffff,19
8844d5a045fffff,1
8844d5a031fffff,6
8844d5a1d9fffff,16
8844d5a189fffff,2
8844d5a19dfffff,2
8844d5a141fffff,4
8844d5a13bfffff,1
8844d5a165fffff,1
8844d5a1c5fffff,4
8844d5aad3fffff,9
8844d5a0b3fffff,30
8844d5a56bfffff,1
8844d5a193fffff,11
8844d5ae01fffff,5
8844d5a525fffff,17
8844d5ae07fffff,7
8844d5aea9fffff,23
8844d5af4dfffff,4
8844d5af5bfffff,3
8844d5af19fffff,5
8844d5aab1fffff,4
8844d5ac49fffff,1
8844d5ac4dfffff,2
8844d5ad57fffff,1
8844c2d339fffff,1
8844d5a49dfffff,7
8844d5a4a9fffff,7
8844c2db41fffff,9
8844c2db51fffff,3
8844c2d19dfffff,1
8844c2c345fffff,1
8844c2c329fffff,1
8844c2dac5fffff,5
8844c2d833fffff,2
8844c2d9d9fffff,1
8844c2d8a1fffff,1
8844d5aed3fffff,10
8844d5ae81fffff,8
8844c2db65fffff,1
8844d5acddfffff,1
8844c2db27fffff,14
8844d53659fffff,1
8844d5adddfffff,3
8844c2d92bfffff,1
8844c2d965fffff,1
8844c2d933fffff,3
8844d536c5fffff,1
8844d53425fffff,5
8844d53439fffff,2
8844d535c9fffff,3
8844c298cbfffff,2
8844c29885fffff,2
8844c298a1fffff,3
8844c2816bfffff,1
8844c299a9fffff,1
8844c2d6ebfffff,1
8844c2d6d7fffff,1
8844c28b41fffff,1
8844c28acbfffff,14
8844c281adfffff,1
8844c28aa3fffff,1
8844c288cdfffff,1
8844c28a23fffff,2
8844c28949fffff,1
8844c28951fffff,7
8844c2881dfffff,1
8844c289cbfffff,1
8844c289c3fffff,1
8844c28989fffff,1
8844c2d51bfffff,5
8844c2d5bbfffff,1
8844c2c295fffff,4
8844c2c65dfffff,1
8844c2c6e5fffff,1
8844c2c751fffff,1
8844c2c705fffff,11
8844c2c719fffff,1
8844c2c71dfffff,1
8844c2c729fffff,45
8844c2c093fffff,12
8844c2c467fffff,2
8844c2131dfffff,4
8844c28dc5fffff,1
8844c212bbfffff,1
8844c21709fffff,1
8844c212b7fffff,1
8844c211cbfffff,1
8844c2109bfffff,5
8844c210a9fffff,1
8844c2c6b3fffff,1
8844c2c6a3fffff,2
8844c2132bfffff,3
8844c21325fffff,2
8844c2c4a3fffff,1
8844c2c4b1fffff,2
8844c2c5a5fffff,3
8844c2c5a7fffff,1
8844c21ac7fffff,2
8844c21ab9fffff,1
8844c20361fffff,1
8844c21851fffff,1
8844c21855fffff,1
8844c219cdfffff,1
8844c219dbfffff,4
8844c2c055fffff,1
8844c2c315fffff,1
8844c2c0c5fffff,3
8844c2c0edfffff,1
8844c2c033fffff,1
8844c2c167fffff,1
8844c2d8b3fffff,1
8844c2ca6bfffff,2
8844c2cae7fffff,1
8844c2caadfffff,1
8844c2c0a3fffff,2
8844c2c1d1fffff,7
8844c2c1d5fffff,1
8844c2c187fffff,3
8844c2cc4bfffff,1
8844c2c1a3fffff,1
8844c2ca95fffff,2
8844c2ca87fffff,2
8844c2c8b3fffff,1
8844c2d9b5fffff,1
8844c2c867fffff,7
8844c2c94bfffff,2
8844c2c909fffff,5
8844d534a9fffff,1
8844d5348bfffff,2
8844d53593fffff,5
8844d52653fffff,5
8844d52611fffff,3
8844d52663fffff,3
8844c2c813fffff,1
8844c2c831fffff,1
8844c2c8a5fffff,4
8844c2c983fffff,4
8844c25349fffff,3
8844c2c931fffff,1
8844d52687fffff,2
8844d526a3fffff,1
8844d52457fffff,1
8844d52691fffff,3
8844c2536dfffff,2
8844c2cee3fffff,5
8844c2ce9dfffff,1
8844c2cea3fffff,2
8844c2cc09fffff,2
8844c2cc1bfffff,2
8844c2cc1dfffff,1
8844c21b61fffff,1
8844c21b67fffff,1
8844c2ccd7fffff,3
8844c2ccc5fffff,4
8844c2cc83fffff,2
8844c2cc2bfffff,4
8844c2196bfffff,1
8844c219e1fffff,3
8844c25753fffff,3
8844c25747fffff,5
8844c25755fffff,8
8844c25765fffff,1
8844c25703fffff,2
8844c2544dfffff,1
8844c25459fffff,1
8844c2521dfffff,2
8844c2503bfffff,2
8844c251cbfffff,2
8844c25307fffff,1
8844d52491fffff,5
8844c2519bfffff,1
8844c24259fffff,2
8844c24205fffff,4
8844c2434dfffff,1
8844c258d9fffff,1
8844c24351fffff,1
8844c2404bfffff,1
8844c07137fffff,3
8844c07845fffff,2
8844c07913fffff,2
8844c07895fffff,6
8844c06045fffff,3
8844c06021fffff,1
8844c078b1fffff,2
8844c06a57fffff,1
8844c06a2bfffff,3
8844c06a21fffff,1
8844c06b11fffff,4
8844c0684dfffff,4
8844c04cb3fffff,1
8844c07909fffff,2
8844c2b641fffff,21
8844c2b643fffff,3
8844c2b609fffff,1
8844c2b6e5fffff,2
8844c2b6a9fffff,2
8844c2b753fffff,1
8844c2b0d3fffff,2
8844c2b729fffff,1
8844c2b441fffff,1
8844c2b51dfffff,2
8844c2b481fffff,2
8844c2b41bfffff,1
8844c2a649fffff,1
8844c2a655fffff,1
8844c2a609fffff,1
8844c2b5b3fffff,5
8844c2b5a3fffff,2
8844c06033fffff,3
8844c06185fffff,9
8844c06133fffff,1
